file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,34,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", obj_closevvsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,35,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", obj_minvvsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,36,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", obj_assset);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,37,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", dp_lastval);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,38,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", dp_orplastval);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,39,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_textfield_dpid"", obj_orpsp);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,40,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_value_check_box_sp"", dp_select1);",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,42,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""mode_change"",$DP3 + "".value.ORP_MODE_RESULT"");",VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,436,[CTL_RES_001] 위반: 메모리 누수 체크,dpConnect(\] [0] - [main],VALID,메모리 또는 DP 접속 해제 쌍 미비
CA2_Na2SO3_VALVE_pnl.txt,CTL_RES_001,Medium,440,[CTL_RES_001] 위반: 메모리 누수 체크,"dpConnect(""CB_user_reverse_check_box"", $DP3 + "".cmd.ORP_USE"");",VALID,메모리 또는 DP 접속 해제 쌍 미비
